,State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness
98,AZ,Mohave County,18.3,42003.0,2016,6.708333333333332,63.4,8.25,48282977.0,5.0,68.30886371209597
99,AZ,Navajo County,28.2,37440.0,2016,8.408333333333333,63.4,8.25,48282977.0,5.0,56.922922831777825
100,AZ,Pima County,18.2,47644.0,2016,5.033333333333333,63.4,8.25,48282977.0,5.0,67.3428981348637
101,AZ,Pinal County,15.4,52642.0,2016,5.625,63.4,8.25,48282977.0,5.0,67.52009512485137
102,AZ,Santa Cruz County,20.9,39090.0,2016,10.208333333333334,63.4,8.25,48282977.0,5.0,56.541575140637555
103,AZ,Yavapai County,13.3,49824.0,2016,5.008333333333333,63.4,8.25,48282977.0,5.0,67.03827947200728
104,AZ,Yuma County,19.3,42998.0,2016,19.033333333333328,63.4,8.25,48282977.0,5.0,68.1914347826087
105,AZ,Apache County,33.1,33053.0,2017,10.425,56.97,8.33,41824609.0,5.0,49.041970132107984
106,AZ,Cochise County,16.1,48966.0,2017,5.6416666666666675,56.97,8.33,41824609.0,5.0,61.14773093139134
107,AZ,Coconino County,18.4,54399.0,2017,5.616666666666667,56.97,8.33,41824609.0,5.0,61.273122831367104
108,AZ,Gila County,24.1,38897.0,2017,6.116666666666667,56.97,8.33,41824609.0,5.0,54.53075565361279
109,AZ,Graham County,20.9,46378.0,2017,5.525,56.97,8.33,41824609.0,5.0,54.78508987701041
110,AZ,Greenlee County,10.1,63557.0,2017,5.1,56.97,8.33,41824609.0,5.0,60.35881578947368
111,AZ,La Paz County,20.9,36389.0,2017,5.4833333333333325,56.97,8.33,41824609.0,5.0,54.798142766898295
112,AZ,Maricopa County,13.5,62221.0,2017,4.25,56.97,8.33,41824609.0,5.0,60.20239436619718
113,AZ,Mohave County,17.3,42210.0,2017,5.941666666666666,56.97,8.33,41824609.0,5.0,61.392696306920044
114,AZ,Navajo County,26.4,40883.0,2017,7.741666666666667,56.97,8.33,41824609.0,5.0,50.98376617036856
115,AZ,Pima County,16.6,51392.0,2017,4.566666666666666,56.97,8.33,41824609.0,5.0,60.551417322834645
116,AZ,Pinal County,13.0,53114.0,2017,5.091666666666667,56.97,8.33,41824609.0,5.0,60.62868263473054
