State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings,TotalCrime,StateCrime,CrimeScore
AZ,Pinal County,17.7,50362.0,2012,8.533333333333333,67.1,8.16,48357880.0,5.0,72.85756035578144,382251,5.83,1409985.5093243641,198371.4,173.0,21670.0,-3051.657729580065
AZ,Santa Cruz County,24.8,36660.0,2012,15.458333333333336,67.1,8.16,48357880.0,5.0,57.57733388532394,47359,0.72,174690.20025086278,23189.5,263.0,21670.0,-574.7769727734195
AZ,Yavapai County,15.7,43397.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0,72.65289879931389,211990,3.23,781954.3392212758,114209.0,1567.0,21670.0,-15329.410706045224
AZ,Yuma County,21.9,39072.0,2012,23.766666666666666,67.1,8.16,48357880.0,5.0,72.79879562043796,202475,3.09,746856.950015698,109529.3,975.0,21670.0,-9109.973465620675
AZ,Apache County,38.7,30252.0,2013,18.516666666666666,64.65,8.17,46269358.0,5.0,52.12576463734344,72322,1.09,252254.75452435817,33544.5,259.0,25453.0,-735.9210309197343
AZ,Cochise County,18.8,45294.0,2013,9.258333333333333,64.65,8.17,46269358.0,5.0,70.8533858033858,129578,1.95,451960.2137905103,69826.9,937.0,25453.0,-4770.14835186422
AZ,Coconino County,23.2,48732.0,2013,8.2,64.65,8.17,46269358.0,5.0,61.62070063694268,136699,2.06,476797.8303797632,73188.0,530.0,25453.0,-2846.441283935096
AZ,Gila County,22.6,39868.0,2013,9.691666666666666,64.65,8.17,46269358.0,5.0,61.25854193548388,53005,0.8,184878.22880400988,24301.0,471.0,25453.0,-980.8413546536754
AZ,Graham County,21.6,43497.0,2013,7.8,64.65,8.17,46269358.0,5.0,70.38061224489796,37433,0.56,130564.03620074525,26660.8,268.0,25453.0,-394.13994421089853
AZ,Greenlee County,11.6,54673.0,2013,5.9833333333333325,64.65,8.17,46269358.0,5.0,68.59729857819906,8916,0.13,31098.467842968632,4233.2,0.0,25453.0,0.0
