State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings
AZ,Coconino County,21.3,48653.0,2014,7.133333333333333,62.2,8.18,59156404.0,5.0,59.52813599062135,137566,2.04,604562.4445828213,90236.7
AZ,Gila County,24.4,37677.0,2014,8.325,62.2,8.18,59156404.0,5.0,59.09640947288006,53044,0.79,233112.908061957,40770.2
AZ,Graham County,20.0,46046.0,2014,7.441666666666666,62.2,8.18,59156404.0,5.0,67.62362587306407,38099,0.57,167433.99223762346,31714.8
AZ,Greenlee County,10.3,59416.0,2014,6.666666666666668,62.2,8.18,59156404.0,5.0,66.24715127701376,9349,0.14,41086.12807237833,5323.8
AZ,La Paz County,22.8,32533.0,2014,7.616666666666667,62.2,8.18,59156404.0,5.0,59.34531506849315,20516,0.3,90161.83586831893,11897.8
AZ,Maricopa County,17.1,53929.0,2014,5.808333333333334,62.2,8.18,59156404.0,5.0,66.53564932702801,4093648,60.82,17990388.91980269,3544258.1
AZ,Mohave County,20.8,37704.0,2014,8.733333333333333,62.2,8.18,59156404.0,5.0,68.3507900677201,203423,3.02,893984.7503334491,1079350.1
AZ,Navajo County,28.5,35457.0,2014,11.083333333333336,62.2,8.18,59156404.0,5.0,54.22,107701,1.6,473314.4806421241,72813.7
AZ,Pima County,18.7,45871.0,2014,6.05,62.2,8.18,59156404.0,5.0,66.77111111111111,1004229,14.92,4413293.540271303,1579806.3
AZ,Pinal County,17.6,49876.0,2014,7.016666666666668,62.2,8.18,59156404.0,5.0,67.21665538253217,395322,5.87,1737324.8820011492,242181.6
AZ,Santa Cruz County,23.6,37465.0,2014,12.95,62.2,8.18,59156404.0,5.0,53.83830369357045,46636,0.69,204951.61715514338,27346.7
AZ,Yavapai County,15.6,44145.0,2014,6.366666666666667,62.2,8.18,59156404.0,5.0,66.72139605462823,217716,3.23,956798.3163339308,137425.1
AZ,Yuma County,22.6,39700.0,2014,22.891666666666666,62.2,8.18,59156404.0,5.0,50.827550833485994,204054,3.03,896757.8112826063,129657.9
AZ,Apache County,33.2,34040.0,2016,11.633333333333333,63.4,8.25,48282977.0,5.0,54.785278810408926,71381,1.03,248267.64376143916,42601.8
AZ,Cochise County,21.1,45151.0,2016,6.333333333333332,63.4,8.25,48282977.0,5.0,60.96439854191981,125686,1.81,437143.8768551889,58521.9
AZ,Coconino County,17.8,53643.0,2016,6.125,63.4,8.25,48282977.0,5.0,67.95694879832811,140407,2.02,488344.44820908067,74645.3
AZ,Gila County,20.3,40747.0,2016,7.341666666666668,63.4,8.25,48282977.0,5.0,60.70414531202894,53356,0.77,185575.55092441052,24377.0
AZ,Graham County,22.9,46714.0,2016,6.8583333333333325,63.4,8.25,48282977.0,5.0,60.76114533744049,37807,0.54,131495.1430729288,17445.8
AZ,Greenlee County,12.0,61110.0,2016,7.675,63.4,8.25,48282977.0,5.0,68.08106734434561,9643,0.14,33538.96539403423,4499.2
AZ,La Paz County,24.8,34285.0,2016,6.125,63.4,8.25,48282977.0,5.0,60.944058205335494,20648,0.3,71815.05314279985,9047.8
