,State,Happiness Score,Year
461,CT,58.24,2019
462,NJ,58.1,2019
463,VA,57.35,2019
464,NY,57.35,2019
465,MA,56.85,2019
466,WA,56.44,2019
467,CO,55.38,2019
468,GA,55.15,2019
469,NC,53.69,2019
470,AZ,52.92,2019
471,TX,52.56,2019
472,IL,52.47,2019
473,NH,52.37,2019
474,KS,52.3,2019
475,NV,51.8,2019
476,DE,51.67,2019
477,MT,51.08,2019
478,FL,51.01,2019
479,PA,50.54,2019
480,RI,50.44,2019
481,IN,50.2,2019
482,ME,49.81,2019
483,MI,49.52,2019
484,WY,48.9,2019
485,SC,48.26,2019
486,OH,48.19,2019
487,VT,48.18,2019
488,OR,48.05,2019
489,TN,46.13,2019
490,NM,43.35,2019
491,MO,42.76,2019
492,MS,41.63,2019
493,KY,39.42,2019
494,AL,39.35,2019
495,OK,38.89,2019
496,AK,38.21,2019
497,LA,37.15,2019
498,AR,36.61,2019
499,WV,33.42,2019
500,HI,69.58,2020
501,UT,69.42,2020
502,MN,65.87,2020
503,NJ,64.1,2020
504,MD,61.78,2020
505,CA,61.14,2020
506,ND,60.02,2020
507,IA,59.65,2020
508,ID,59.58,2020
509,CT,59.23,2020
510,NE,59.06,2020
511,SD,58.53,2020
512,MA,57.3,2020
513,VA,56.27,2020
514,WA,55.6,2020
515,VT,55.59,2020
516,NY,54.86,2020
517,WI,54.32,2020
518,NV,53.67,2020
519,AZ,53.47,2020
520,NH,53.36,2020
521,GA,52.73,2020
522,CO,52.57,2020
523,DE,52.25,2020
524,TX,51.04,2020
525,RI,50.96,2020
526,FL,50.58,2020
527,PA,50.16,2020
528,IL,50.14,2020
529,ME,50.12,2020
530,WY,49.26,2020
531,NC,49.19,2020
532,KS,49.16,2020
533,SC,48.78,2020
534,OH,48.37,2020
535,IN,47.96,2020
536,MI,47.27,2020
537,MT,47.25,2020
538,NM,47.03,2020
539,MO,45.79,2020
540,OR,43.67,2020
541,AK,40.85,2020
542,AL,40.28,2020
543,MS,39.52,2020
544,TN,39.21,2020
545,KY,38.29,2020
546,LA,38.15,2020
547,OK,37.66,2020
548,AR,36.83,2020
549,WV,30.58,2020
