,STATE,YEAR,SALES_DOLLARS
332,OH,2016,104211260.0
333,OH,2017,87933887.0
334,OH,2018,174751040.0
335,OH,2019,119800646.0
336,OH,2020,2860214.0
337,OK,2010,9761822.0
338,OK,2011,17384673.0
339,OK,2012,20337393.0
340,OK,2013,18787273.0
341,OK,2014,23566786.0
342,OK,2015,14193933.0
343,OK,2016,16869451.0
344,OK,2017,14607485.0
345,OK,2018,31833204.0
346,OK,2019,21457058.0
347,OK,2020,476502.0
348,OR,2010,7312748.0
349,OR,2011,16613541.0
350,OR,2012,18281333.0
351,OR,2013,16929756.0
352,OR,2014,22995062.0
353,OR,2015,15150759.0
354,OR,2016,18032824.0
355,OR,2017,19671160.0
356,OR,2018,48006640.0
357,OR,2019,27447690.0
358,OR,2020,576194.0
359,PA,2010,66305422.0
360,PA,2011,119637623.0
361,PA,2012,121246382.0
362,PA,2013,113397440.0
363,PA,2014,147652383.0
364,PA,2015,88142724.0
365,PA,2016,107766612.0
366,PA,2017,88539771.0
367,PA,2018,205269884.0
368,PA,2019,134773690.0
369,PA,2020,2628684.0
370,RI,2010,6845398.0
371,RI,2011,10705375.0
372,RI,2012,11127346.0
373,RI,2013,9634450.0
374,RI,2014,12685341.0
375,RI,2015,8472850.0
376,RI,2016,9959086.0
377,RI,2017,8985872.0
378,RI,2018,17543984.0
379,RI,2019,13627254.0
380,RI,2020,327374.0
381,SC,2010,21073124.0
382,SC,2011,35797951.0
383,SC,2012,37417855.0
384,SC,2013,35273595.0
385,SC,2014,44324792.0
386,SC,2015,27560003.0
387,SC,2016,32555287.0
388,SC,2017,28195748.0
389,SC,2018,62612828.0
390,SC,2019,49568048.0
391,SC,2020,1270090.0
392,SD,2010,1139043.0
393,SD,2011,2988033.0
394,SD,2012,3891964.0
395,SD,2013,3652314.0
396,SD,2014,4450444.0
397,SD,2015,2845988.0
398,SD,2016,3462426.0
399,SD,2017,2996896.0
400,SD,2018,7527575.0
401,SD,2019,4943650.0
402,SD,2020,111481.0
403,TN,2010,26225378.0
404,TN,2011,40036124.0
405,TN,2012,42755844.0
406,TN,2013,36929236.0
407,TN,2014,46013144.0
408,TN,2015,30151746.0
409,TN,2016,54881169.0
410,TN,2017,34363144.0
411,TN,2018,80835913.0
412,TN,2019,54184278.0
413,TN,2020,1259142.0
414,TX,2010,123167311.0
415,TX,2011,193939659.0
416,TX,2012,191021620.0
417,TX,2013,169099212.0
418,TX,2014,201714042.0
419,TX,2015,134012633.0
420,TX,2016,166616257.0
421,TX,2017,155897852.0
422,TX,2018,364743107.0
423,TX,2019,254315556.0
424,TX,2020,6351952.0
425,VA,2010,106456710.0
426,VA,2011,130169851.0
427,VA,2012,116879799.0
428,VA,2013,105020917.0
429,VA,2014,115279165.0
430,VA,2015,76722967.0
431,VA,2016,93925431.0
432,VA,2017,82498890.0
433,VA,2018,152126046.0
434,VA,2019,109453139.0
435,VA,2020,2759265.0
436,VI,2010,126116.0
437,VI,2011,818616.0
438,VI,2012,896907.0
439,VI,2013,839924.0
440,VI,2014,1011393.0
441,VI,2015,718242.0
442,VI,2016,878098.0
443,VI,2017,534781.0
444,VI,2018,1042648.0
445,VI,2019,1369110.0
446,VI,2020,37534.0
447,VT,2010,1578505.0
448,VT,2011,2961982.0
449,VT,2012,3346060.0
450,VT,2013,2841072.0
451,VT,2014,3558284.0
452,VT,2015,2392366.0
453,VT,2016,3012722.0
454,VT,2017,2745590.0
455,VT,2018,6533100.0
456,VT,2019,4733422.0
457,VT,2020,116782.0
458,WA,2010,40942368.0
459,WA,2011,56488371.0
460,WA,2012,50977757.0
461,WA,2013,47755942.0
462,WA,2014,55820922.0
463,WA,2015,36355137.0
464,WA,2016,44597036.0
465,WA,2017,41190192.0
466,WA,2018,88997836.0
467,WA,2019,58853840.0
468,WA,2020,1323808.0
469,WI,2010,16896877.0
470,WI,2011,27211817.0
471,WI,2012,32508547.0
472,WI,2013,28317644.0
473,WI,2014,34118435.0
474,WI,2015,20904422.0
475,WI,2016,27577607.0
476,WI,2017,26862480.0
477,WI,2018,61456340.0
478,WI,2019,40523716.0
479,WI,2020,886576.0
480,WV,2010,4900356.0
481,WV,2011,11152760.0
482,WV,2012,13146326.0
483,WV,2013,12487591.0
484,WV,2014,16047269.0
485,WV,2015,10518656.0
486,WV,2016,12502175.0
487,WV,2017,10822902.0
488,WV,2018,21887676.0
489,WV,2019,15937108.0
490,WV,2020,380352.0
491,WY,2014,1601386.0
492,WY,2015,3332564.0
493,WY,2016,3700713.0
494,WY,2017,3099061.0
495,WY,2018,7704693.0
496,WY,2019,4915645.0
497,WY,2020,122979.0
